Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
ART 150	Darkroom Practices	Kathleen Chris Perry	2023 Fall Quarter	2238	N		8	2	3	3	1							1	1		1					20
ART 157	Arts Field Research	Jorge Mascarenhas Menna Barreto; Karolina Karlic	2023 Fall Quarter	2238	N	8	2																			10
ART 162A	Intaglio I	Sarah Sanford	2023 Fall Quarter	2238	N	1	8	7	1	3	1	1						1						1		24
ART 185	3D ArtDesign II	Anja Ulfeldt	2023 Fall Quarter	2238	N	7	13						1		1				1					1		24
ART 194	Forms and Ideas	Cláudio Bueno	2023 Fall Quarter	2238	N	3	4	6			1															14
ARTG 10	Aesthetic Designs	Kristen Ling Gillette	2023 Fall Quarter	2238	N	52	43	15	5	5	8	1	6		1	2		3	3	2				2		148
ARTG 30	Games as Activism	Patrick Michael Ballard	2023 Fall Quarter	2238	N	12	57	5	3	10			4						3					1		95
ARTG 40	Designing Experiences	dani wright	2023 Fall Quarter	2238	N	23	15	2																		40
ARTG 40	Designing Experiences	Elizabeth A Swensen	2023 Fall Quarter	2238	N	26	11	1	1		1							1								41
ARTG 50	Play Radical Endeavor	Patrick Michael Ballard	2023 Fall Quarter	2238	N	8	13		1	5			2						1							30
ARTG 50	Play Radical Endeavor	Patrick Michael Ballard	2023 Fall Quarter	2238	N	4	27	2	1	3			3	1				2								43
ARTG 118	Char Creation in Games	Eduard Joseph Gregor	2023 Fall Quarter	2238	N	6	40	7	2	1	2	2	2	1	1			2	3	2						71
ARTG 170	Game Design I	dani wright	2023 Fall Quarter	2238	N	17	15	3	2	3									2							42
ARTG 170	Game Design I	Tamara Madeleine Duplantis	2023 Fall Quarter	2238	N	36	84			1			3					1								125
ASTR 6	Space-Age Solr Sysm	Graeme H Smith	2023 Fall Quarter	2238	N	12	17	15	15	12	8	6	1						10							96
ASTR 16	Astrobio/Life/Universe	Natalie Batalha	2023 Fall Quarter	2238	N	1	12	13	10	9	14	6	3			2		3	10	2						85
ASTR 19	Practical Programming	Brant Edward Robertson	2023 Fall Quarter	2238	N	12	27	12	8	8	4	2	3	2				2	3	1						84
ASTR 111	Order of Magnitude	Enrico Jorge Ramirez-Ruiz	2023 Fall Quarter	2238	N	10	6	5	3	1														1		26
ASTR 113	Intro Cosmology	Piero Madau	2023 Fall Quarter	2238	N	3	2	2	2	3		1	1							2						16
ASTR 119	Intro Sci Computing	Olivier Hervet	2023 Fall Quarter	2238	N	10	6	2	7	2		1		1				1						1		31
BIOC 100A	Biochemistry	William G Scott	2023 Fall Quarter	2238	N	4	72	13	8	28			12	2				4						1		144
BIOE 20B	Developmt & Physiol	Robin Christine Dunkin	2023 Fall Quarter	2238	N		33	76	33	55	31	3	14		1	1		1								248
BIOE 20C	Ecology & Evolution	Baldo Branimir Marinovic	2023 Fall Quarter	2238	N	2	13	10	9	17	6	6	9		2	1			1							76
BIOE 20C	Ecology & Evolution	Baldo Branimir Marinovic	2023 Fall Quarter	2238	N	8	37	45	21	54	19	21	27			5		9	2	1				3		252
BIOE 20F	Field Biology Practice	Abraham Borker	2023 Fall Quarter	2238	N	1	9	6		2	2		2					1								23
BIOE 20F	Field Biology Practice	Abraham Borker	2023 Fall Quarter	2238	N	3	13			3			2													21
BIOE 20F	Field Biology Practice	Abraham Borker	2023 Fall Quarter	2238	N	4	12	1		2								1	1							21
